"Statistic","Year","Local Government District","Broad Industry Group","Employee Size Band","0 to 99","100 to 499","500 to 999","1000 to 4999","5000+","All"
"Number of Businesses",2013,"Armagh City, Banbridge and Craigavon","Production","10 to 49",NA,10,20,60,10,105
"Number of Businesses",2013,"Armagh City, Banbridge and Craigavon","Production","50 to 249",NA,NA,NA,NA,25,30
"Number of Businesses",2013,"Armagh City, Banbridge and Craigavon","Production","250+",NA,NA,NA,NA,10,10
"Number of Businesses",2013,"Armagh City, Banbridge and Craigavon","Production","All",160,175,50,85,45,515
"Number of Businesses",2013,"Armagh City, Banbridge and Craigavon","Construction","0",310,100,NA,NA,NA,410
"Number of Businesses",2013,"Armagh City, Banbridge and Craigavon","Construction","1 to 9",245,340,50,35,NA,670
"Number of Businesses",2013,"Armagh City, Banbridge and Craigavon","Construction","10 to 49",NA,10,10,30,NA,50
"Number of Businesses",2013,"Armagh City, Banbridge and Craigavon","Construction","50 to 249",NA,NA,NA,NA,10,10
"Number of Businesses",2013,"Armagh City, Banbridge and Craigavon","Construction","250+",NA,NA,NA,NA,NA,NA
"Number of Businesses",2013,"Armagh City, Banbridge and Craigavon","Construction","All",555,450,60,65,15,1140
"Number of Businesses",2013,"Armagh City, Banbridge and Craigavon","Motor Trades","0",50,35,5,5,NA,100
"Number of Businesses",2013,"Armagh City, Banbridge and Craigavon","Motor Trades","1 to 9",30,105,30,15,NA,180
"Number of Businesses",2013,"Armagh City, Banbridge and Craigavon","Motor Trades","10 to 49",NA,NA,NA,15,NA,20
"Number of Businesses",2013,"Armagh City, Banbridge and Craigavon","Motor Trades","50 to 249",NA,NA,NA,NA,5,5
"Number of Businesses",2013,"Armagh City, Banbridge and Craigavon","Motor Trades","250+",NA,NA,NA,NA,NA,NA
"Number of Businesses",2013,"Armagh City, Banbridge and Craigavon","Motor Trades","All",85,140,35,35,10,305
"Number of Businesses",2013,"Armagh City, Banbridge and Craigavon","Wholesale","0",80,50,NA,NA,NA,130
"Number of Businesses",2013,"Armagh City, Banbridge and Craigavon","Wholesale","1 to 9",50,95,45,50,5,240
"Number of Businesses",2013,"Armagh City, Banbridge and Craigavon","Wholesale","10 to 49",NA,NA,NA,25,20,45
"Number of Businesses",2013,"Armagh City, Banbridge and Craigavon","Wholesale","50 to 249",NA,NA,NA,NA,5,5
"Number of Businesses",2013,"Armagh City, Banbridge and Craigavon","Wholesale","250+",NA,NA,NA,NA,NA,NA
"Number of Businesses",2013,"Armagh City, Banbridge and Craigavon","Wholesale","All",125,145,55,75,30,430
"Number of Businesses",2013,"Armagh City, Banbridge and Craigavon","Retail","0",90,80,NA,NA,NA,175
"Number of Businesses",2013,"Armagh City, Banbridge and Craigavon","Retail","1 to 9",75,275,70,30,NA,455
"Number of Businesses",2013,"Armagh City, Banbridge and Craigavon","Retail","10 to 49",NA,10,20,70,10,115
"Number of Businesses",2013,"Armagh City, Banbridge and Craigavon","Retail","50 to 249",NA,NA,NA,NA,15,20
"Number of Businesses",2013,"Armagh City, Banbridge and Craigavon","Retail","250+",NA,NA,NA,NA,5,5
"Number of Businesses",2013,"Armagh City, Banbridge and Craigavon","Retail","All",170,370,95,100,30,765
"Number of Businesses",2013,"Armagh City, Banbridge and Craigavon","Transport & Storage (inc Postal)","0",95,30,NA,NA,NA,130
"Number of Businesses",2013,"Armagh City, Banbridge and Craigavon","Transport & Storage (inc Postal)","1 to 9",40,110,20,10,NA,185
"Number of Businesses",2013,"Armagh City, Banbridge and Craigavon","Transport & Storage (inc Postal)","10 to 49",NA,NA,5,20,NA,30
"Number of Businesses",2013,"Armagh City, Banbridge and Craigavon","Transport & Storage (inc Postal)","50 to 249",NA,NA,NA,NA,5,10
"Number of Businesses",2013,"Armagh City, Banbridge and Craigavon","Transport & Storage (inc Postal)","250+",NA,NA,NA,NA,NA,NA
"Number of Businesses",2013,"Armagh City, Banbridge and Craigavon","Transport & Storage (inc Postal)","All",140,140,30,30,15,350
"Number of Businesses",2013,"Armagh City, Banbridge and Craigavon","Accommodation & Food Services","0",15,5,NA,NA,NA,20
"Number of Businesses",2013,"Armagh City, Banbridge and Craigavon","Accommodation & Food Services","1 to 9",75,165,5,NA,NA,250
"Number of Businesses",2013,"Armagh City, Banbridge and Craigavon","Accommodation & Food Services","10 to 49",NA,35,15,10,NA,60
"Number of Businesses",2013,"Armagh City, Banbridge and Craigavon","Accommodation & Food Services","50 to 249",NA,NA,NA,NA,NA,5
"Number of Businesses",2013,"Armagh City, Banbridge and Craigavon","Accommodation & Food Services","250+",NA,NA,NA,NA,NA,NA
"Number of Businesses",2013,"Armagh City, Banbridge and Craigavon","Accommodation & Food Services","All",90,210,25,15,NA,335
"Number of Businesses",2013,"Armagh City, Banbridge and Craigavon","Information & Communication","0",15,NA,NA,NA,NA,15
"Number of Businesses",2013,"Armagh City, Banbridge and Craigavon","Information & Communication","1 to 9",35,30,NA,NA,NA,70
"Number of Businesses",2013,"Armagh City, Banbridge and Craigavon","Information & Communication","10 to 49",NA,NA,NA,NA,NA,NA
"Number of Businesses",2013,"Armagh City, Banbridge and Craigavon","Information & Communication","50 to 249",NA,NA,NA,NA,NA,NA
"Number of Businesses",2013,"Armagh City, Banbridge and Craigavon","Information & Communication","250+",NA,NA,NA,NA,NA,NA
"Number of Businesses",2013,"Armagh City, Banbridge and Craigavon","Information & Communication","All",50,30,NA,NA,NA,85
"Number of Businesses",2013,"Armagh City, Banbridge and Craigavon","Finance & Insurance","0",25,NA,NA,NA,NA,25
"Number of Businesses",2013,"Armagh City, Banbridge and Craigavon","Finance & Insurance","1 to 9",25,40,10,NA,NA,70
"Number of Businesses",2013,"Armagh City, Banbridge and Craigavon","Finance & Insurance","10 to 49",NA,NA,NA,NA,NA,NA
"Number of Businesses",2013,"Armagh City, Banbridge and Craigavon","Finance & Insurance","50 to 249",NA,NA,NA,NA,NA,NA
"Number of Businesses",2013,"Armagh City, Banbridge and Craigavon","Finance & Insurance","250+",NA,NA,NA,NA,NA,NA
"Number of Businesses",2013,"Armagh City, Banbridge and Craigavon","Finance & Insurance","All",50,40,10,NA,NA,105
"Number of Businesses",2013,"Armagh City, Banbridge and Craigavon","Property","0",55,15,NA,NA,NA,70
"Number of Businesses",2013,"Armagh City, Banbridge and Craigavon","Property","1 to 9",50,40,5,10,NA,105
"Number of Businesses",2013,"Armagh City, Banbridge and Craigavon","Property","10 to 49",NA,NA,NA,NA,NA,NA
"Number of Businesses",2013,"Armagh City, Banbridge and Craigavon","Property","50 to 249",NA,NA,NA,NA,NA,NA
"Number of Businesses",2013,"Armagh City, Banbridge and Craigavon","Property","250+",NA,NA,NA,NA,NA,NA
"Number of Businesses",2013,"Armagh City, Banbridge and Craigavon","Property","All",105,55,5,10,NA,180
"Number of Businesses",2013,"Armagh City, Banbridge and Craigavon","Professional, Scientific & Technical","0",65,25,NA,NA,NA,90
"Number of Businesses",2013,"Armagh City, Banbridge and Craigavon","Professional, Scientific & Technical","1 to 9",140,145,10,5,NA,300
