"Statistic","Year","Local Government District","Broad Industry Group","Employee Size Band","0 to 99","100 to 499","500 to 999","1000 to 4999","5000+","All"
"Number of Businesses",2023,"Fermanagh and Omagh","Education","10 to 49",NA,NA,NA,NA,NA,NA
"Number of Businesses",2023,"Fermanagh and Omagh","Education","50 to 249",NA,NA,NA,5,NA,5
"Number of Businesses",2023,"Fermanagh and Omagh","Education","250+",NA,NA,NA,NA,NA,NA
"Number of Businesses",2023,"Fermanagh and Omagh","Education","All",10,30,NA,5,NA,50
"Number of Businesses",2023,"Fermanagh and Omagh","Health","0",NA,NA,NA,NA,NA,NA
"Number of Businesses",2023,"Fermanagh and Omagh","Health","1 to 9",30,80,5,NA,NA,120
"Number of Businesses",2023,"Fermanagh and Omagh","Health","10 to 49",NA,NA,15,25,NA,40
"Number of Businesses",2023,"Fermanagh and Omagh","Health","50 to 249",NA,NA,NA,10,NA,15
"Number of Businesses",2023,"Fermanagh and Omagh","Health","250+",NA,NA,NA,NA,NA,NA
"Number of Businesses",2023,"Fermanagh and Omagh","Health","All",35,85,20,35,NA,175
"Number of Businesses",2023,"Fermanagh and Omagh","Arts, Entertainment, Recreation and Other Services","0",15,10,NA,NA,NA,25
"Number of Businesses",2023,"Fermanagh and Omagh","Arts, Entertainment, Recreation and Other Services","1 to 9",175,90,5,NA,NA,270
"Number of Businesses",2023,"Fermanagh and Omagh","Arts, Entertainment, Recreation and Other Services","10 to 49",NA,NA,NA,NA,NA,10
"Number of Businesses",2023,"Fermanagh and Omagh","Arts, Entertainment, Recreation and Other Services","50 to 249",NA,NA,NA,NA,NA,NA
"Number of Businesses",2023,"Fermanagh and Omagh","Arts, Entertainment, Recreation and Other Services","250+",NA,NA,NA,NA,NA,NA
"Number of Businesses",2023,"Fermanagh and Omagh","Arts, Entertainment, Recreation and Other Services","All",190,100,10,NA,NA,305
"Number of Businesses",2023,"Fermanagh and Omagh","All Industries","0",3405,620,25,15,NA,4065
"Number of Businesses",2023,"Fermanagh and Omagh","All Industries","1 to 9",1375,1915,430,240,25,3990
"Number of Businesses",2023,"Fermanagh and Omagh","All Industries","10 to 49",15,60,95,210,55,440
"Number of Businesses",2023,"Fermanagh and Omagh","All Industries","50 to 249",NA,NA,NA,25,45,70
"Number of Businesses",2023,"Fermanagh and Omagh","All Industries","250+",NA,NA,NA,NA,10,10
"Number of Businesses",2023,"Fermanagh and Omagh","All Industries","All",4795,2595,550,490,140,8575
"Number of Businesses",2023,"Lisburn and Castlereagh","Agriculture, Forestry & Fishing","0",380,75,NA,NA,NA,455
"Number of Businesses",2023,"Lisburn and Castlereagh","Agriculture, Forestry & Fishing","1 to 9",40,75,45,10,NA,175
"Number of Businesses",2023,"Lisburn and Castlereagh","Agriculture, Forestry & Fishing","10 to 49",NA,NA,NA,5,NA,10
"Number of Businesses",2023,"Lisburn and Castlereagh","Agriculture, Forestry & Fishing","50 to 249",NA,NA,NA,NA,NA,NA
"Number of Businesses",2023,"Lisburn and Castlereagh","Agriculture, Forestry & Fishing","250+",NA,NA,NA,NA,NA,NA
"Number of Businesses",2023,"Lisburn and Castlereagh","Agriculture, Forestry & Fishing","All",420,150,50,20,NA,640
"Number of Businesses",2023,"Lisburn and Castlereagh","Production","0",15,20,NA,NA,NA,35
"Number of Businesses",2023,"Lisburn and Castlereagh","Production","1 to 9",80,140,30,25,NA,280
"Number of Businesses",2023,"Lisburn and Castlereagh","Production","10 to 49",NA,5,15,50,10,80
"Number of Businesses",2023,"Lisburn and Castlereagh","Production","50 to 249",NA,NA,NA,NA,15,15
"Number of Businesses",2023,"Lisburn and Castlereagh","Production","250+",NA,NA,NA,NA,NA,NA
"Number of Businesses",2023,"Lisburn and Castlereagh","Production","All",100,160,45,75,35,415
"Number of Businesses",2023,"Lisburn and Castlereagh","Construction","0",90,55,NA,NA,NA,150
"Number of Businesses",2023,"Lisburn and Castlereagh","Construction","1 to 9",155,245,65,50,5,515
"Number of Businesses",2023,"Lisburn and Castlereagh","Construction","10 to 49",NA,NA,5,25,10,40
"Number of Businesses",2023,"Lisburn and Castlereagh","Construction","50 to 249",NA,NA,NA,NA,5,5
"Number of Businesses",2023,"Lisburn and Castlereagh","Construction","250+",NA,NA,NA,NA,NA,NA
"Number of Businesses",2023,"Lisburn and Castlereagh","Construction","All",245,300,70,75,25,715
"Number of Businesses",2023,"Lisburn and Castlereagh","Motor Trades","0",15,15,NA,5,NA,35
"Number of Businesses",2023,"Lisburn and Castlereagh","Motor Trades","1 to 9",40,95,25,25,NA,180
"Number of Businesses",2023,"Lisburn and Castlereagh","Motor Trades","10 to 49",NA,NA,NA,5,NA,10
"Number of Businesses",2023,"Lisburn and Castlereagh","Motor Trades","50 to 249",NA,NA,NA,NA,NA,NA
"Number of Businesses",2023,"Lisburn and Castlereagh","Motor Trades","250+",NA,NA,NA,NA,NA,NA
"Number of Businesses",2023,"Lisburn and Castlereagh","Motor Trades","All",55,105,30,35,NA,230
"Number of Businesses",2023,"Lisburn and Castlereagh","Wholesale","0",15,5,NA,NA,NA,25
"Number of Businesses",2023,"Lisburn and Castlereagh","Wholesale","1 to 9",55,90,40,65,5,255
"Number of Businesses",2023,"Lisburn and Castlereagh","Wholesale","10 to 49",NA,NA,NA,30,35,70
"Number of Businesses",2023,"Lisburn and Castlereagh","Wholesale","50 to 249",NA,NA,NA,NA,5,5
"Number of Businesses",2023,"Lisburn and Castlereagh","Wholesale","250+",NA,NA,NA,NA,NA,NA
"Number of Businesses",2023,"Lisburn and Castlereagh","Wholesale","All",75,95,45,95,50,360
"Number of Businesses",2023,"Lisburn and Castlereagh","Retail","0",15,15,10,NA,NA,40
"Number of Businesses",2023,"Lisburn and Castlereagh","Retail","1 to 9",55,135,45,30,NA,270
"Number of Businesses",2023,"Lisburn and Castlereagh","Retail","10 to 49",NA,NA,10,30,5,50
"Number of Businesses",2023,"Lisburn and Castlereagh","Retail","50 to 249",NA,NA,NA,NA,10,10
"Number of Businesses",2023,"Lisburn and Castlereagh","Retail","250+",NA,NA,NA,NA,5,5
"Number of Businesses",2023,"Lisburn and Castlereagh","Retail","All",70,150,60,65,25,375
"Number of Businesses",2023,"Lisburn and Castlereagh","Transport & Storage (inc Postal)","0",40,5,NA,NA,NA,50
"Number of Businesses",2023,"Lisburn and Castlereagh","Transport & Storage (inc Postal)","1 to 9",110,45,10,5,NA,170
"Number of Businesses",2023,"Lisburn and Castlereagh","Transport & Storage (inc Postal)","10 to 49",NA,NA,NA,5,NA,15
"Number of Businesses",2023,"Lisburn and Castlereagh","Transport & Storage (inc Postal)","50 to 249",NA,NA,NA,NA,NA,NA
"Number of Businesses",2023,"Lisburn and Castlereagh","Transport & Storage (inc Postal)","250+",NA,NA,NA,NA,NA,NA
"Number of Businesses",2023,"Lisburn and Castlereagh","Transport & Storage (inc Postal)","All",150,55,15,10,10,235
"Number of Businesses",2023,"Lisburn and Castlereagh","Accommodation & Food Services","0",NA,NA,NA,NA,NA,5
"Number of Businesses",2023,"Lisburn and Castlereagh","Accommodation & Food Services","1 to 9",90,105,5,NA,NA,200
"Number of Businesses",2023,"Lisburn and Castlereagh","Accommodation & Food Services","10 to 49",NA,30,15,15,NA,65
"Number of Businesses",2023,"Lisburn and Castlereagh","Accommodation & Food Services","50 to 249",NA,NA,NA,NA,NA,5
"Number of Businesses",2023,"Lisburn and Castlereagh","Accommodation & Food Services","250+",NA,NA,NA,NA,NA,NA
"Number of Businesses",2023,"Lisburn and Castlereagh","Accommodation & Food Services","All",95,140,25,20,NA,285
"Number of Businesses",2023,"Lisburn and Castlereagh","Information & Communication","0",NA,NA,NA,NA,NA,NA
"Number of Businesses",2023,"Lisburn and Castlereagh","Information & Communication","1 to 9",95,95,10,NA,NA,200
"Number of Businesses",2023,"Lisburn and Castlereagh","Information & Communication","10 to 49",NA,NA,5,5,NA,15
"Number of Businesses",2023,"Lisburn and Castlereagh","Information & Communication","50 to 249",NA,NA,NA,NA,NA,NA
"Number of Businesses",2023,"Lisburn and Castlereagh","Information & Communication","250+",NA,NA,NA,NA,NA,NA
"Number of Businesses",2023,"Lisburn and Castlereagh","Information & Communication","All",100,95,15,10,5,225
"Number of Businesses",2023,"Lisburn and Castlereagh","Finance & Insurance","0",35,NA,NA,NA,NA,35
"Number of Businesses",2023,"Lisburn and Castlereagh","Finance & Insurance","1 to 9",15,40,10,NA,NA,65
"Number of Businesses",2023,"Lisburn and Castlereagh","Finance & Insurance","10 to 49",NA,NA,NA,5,NA,10
"Number of Businesses",2023,"Lisburn and Castlereagh","Finance & Insurance","50 to 249",NA,NA,NA,NA,NA,NA
"Number of Businesses",2023,"Lisburn and Castlereagh","Finance & Insurance","250+",NA,NA,NA,NA,NA,NA
"Number of Businesses",2023,"Lisburn and Castlereagh","Finance & Insurance","All",50,40,10,10,NA,110
"Number of Businesses",2023,"Lisburn and Castlereagh","Property","0",35,10,NA,NA,NA,45
"Number of Businesses",2023,"Lisburn and Castlereagh","Property","1 to 9",70,55,10,NA,NA,130
"Number of Businesses",2023,"Lisburn and Castlereagh","Property","10 to 49",NA,NA,NA,NA,NA,5
"Number of Businesses",2023,"Lisburn and Castlereagh","Property","50 to 249",NA,NA,NA,NA,NA,NA
"Number of Businesses",2023,"Lisburn and Castlereagh","Property","250+",NA,NA,NA,NA,NA,NA
"Number of Businesses",2023,"Lisburn and Castlereagh","Property","All",105,60,10,NA,NA,185
"Number of Businesses",2023,"Lisburn and Castlereagh","Professional, Scientific & Technical","0",30,15,NA,NA,NA,45
"Number of Businesses",2023,"Lisburn and Castlereagh","Professional, Scientific & Technical","1 to 9",155,230,25,15,NA,430
"Number of Businesses",2023,"Lisburn and Castlereagh","Professional, Scientific & Technical","10 to 49",NA,NA,10,20,NA,30
"Number of Businesses",2023,"Lisburn and Castlereagh","Professional, Scientific & Technical","50 to 249",NA,NA,NA,NA,NA,NA
"Number of Businesses",2023,"Lisburn and Castlereagh","Professional, Scientific & Technical","250+",NA,NA,NA,NA,NA,NA
"Number of Businesses",2023,"Lisburn and Castlereagh","Professional, Scientific & Technical","All",185,245,40,35,5,510
"Number of Businesses",2023,"Lisburn and Castlereagh","Business Administration and Support Services","0",15,NA,NA,NA,NA,15
"Number of Businesses",2023,"Lisburn and Castlereagh","Business Administration and Support Services","1 to 9",60,115,10,10,NA,200
"Number of Businesses",2023,"Lisburn and Castlereagh","Business Administration and Support Services","10 to 49",NA,10,NA,15,5,35
"Number of Businesses",2023,"Lisburn and Castlereagh","Business Administration and Support Services","50 to 249",NA,NA,NA,5,NA,10
"Number of Businesses",2023,"Lisburn and Castlereagh","Business Administration and Support Services","250+",NA,NA,NA,NA,NA,NA
"Number of Businesses",2023,"Lisburn and Castlereagh","Business Administration and Support Services","All",75,130,15,35,10,265
"Number of Businesses",2023,"Lisburn and Castlereagh","Public Administration and Defence","0",NA,NA,NA,NA,NA,NA
"Number of Businesses",2023,"Lisburn and Castlereagh","Public Administration and Defence","1 to 9",NA,NA,NA,NA,NA,NA
"Number of Businesses",2023,"Lisburn and Castlereagh","Public Administration and Defence","10 to 49",NA,NA,NA,NA,NA,NA
"Number of Businesses",2023,"Lisburn and Castlereagh","Public Administration and Defence","50 to 249",NA,NA,NA,NA,NA,NA
"Number of Businesses",2023,"Lisburn and Castlereagh","Public Administration and Defence","250+",NA,NA,NA,NA,NA,NA
"Number of Businesses",2023,"Lisburn and Castlereagh","Public Administration and Defence","All",NA,NA,NA,NA,NA,5
"Number of Businesses",2023,"Lisburn and Castlereagh","Education","0",NA,NA,NA,NA,NA,NA
"Number of Businesses",2023,"Lisburn and Castlereagh","Education","1 to 9",15,30,NA,NA,NA,45
"Number of Businesses",2023,"Lisburn and Castlereagh","Education","10 to 49",NA,NA,NA,NA,NA,5
"Number of Businesses",2023,"Lisburn and Castlereagh","Education","50 to 249",NA,NA,NA,NA,NA,NA
"Number of Businesses",2023,"Lisburn and Castlereagh","Education","250+",NA,NA,NA,NA,NA,NA
"Number of Businesses",2023,"Lisburn and Castlereagh","Education","All",15,30,NA,5,NA,55
"Number of Businesses",2023,"Lisburn and Castlereagh","Health","0",NA,NA,NA,NA,NA,NA
"Number of Businesses",2023,"Lisburn and Castlereagh","Health","1 to 9",60,90,NA,NA,NA,155
"Number of Businesses",2023,"Lisburn and Castlereagh","Health","10 to 49",NA,NA,15,35,NA,55
"Number of Businesses",2023,"Lisburn and Castlereagh","Health","50 to 249",NA,NA,NA,5,NA,15
"Number of Businesses",2023,"Lisburn and Castlereagh","Health","250+",NA,NA,NA,NA,5,5
"Number of Businesses",2023,"Lisburn and Castlereagh","Health","All",65,95,20,40,10,230
"Number of Businesses",2023,"Lisburn and Castlereagh","Arts, Entertainment, Recreation and Other Services","0",15,5,NA,NA,NA,25
"Number of Businesses",2023,"Lisburn and Castlereagh","Arts, Entertainment, Recreation and Other Services","1 to 9",195,145,NA,NA,NA,345
"Number of Businesses",2023,"Lisburn and Castlereagh","Arts, Entertainment, Recreation and Other Services","10 to 49",NA,15,NA,5,NA,25
"Number of Businesses",2023,"Lisburn and Castlereagh","Arts, Entertainment, Recreation and Other Services","50 to 249",NA,NA,NA,NA,NA,5
"Number of Businesses",2023,"Lisburn and Castlereagh","Arts, Entertainment, Recreation and Other Services","250+",NA,NA,NA,NA,NA,NA
"Number of Businesses",2023,"Lisburn and Castlereagh","Arts, Entertainment, Recreation and Other Services","All",215,165,10,15,NA,405
"Number of Businesses",2023,"Lisburn and Castlereagh","All Industries","0",715,230,20,10,5,975
"Number of Businesses",2023,"Lisburn and Castlereagh","All Industries","1 to 9",1290,1720,340,250,20,3620
"Number of Businesses",2023,"Lisburn and Castlereagh","All Industries","10 to 49",15,75,100,265,80,530
"Number of Businesses",2023,"Lisburn and Castlereagh","All Industries","50 to 249",NA,NA,NA,25,55,90
"Number of Businesses",2023,"Lisburn and Castlereagh","All Industries","250+",NA,NA,NA,NA,25,25
"Number of Businesses",2023,"Lisburn and Castlereagh","All Industries","All",2020,2020,460,550,190,5240
"Number of Businesses",2023,"Mid and East Antrim","Agriculture, Forestry & Fishing","0",935,195,NA,NA,NA,1130
"Number of Businesses",2023,"Mid and East Antrim","Agriculture, Forestry & Fishing","1 to 9",60,150,60,15,NA,285
"Number of Businesses",2023,"Mid and East Antrim","Agriculture, Forestry & Fishing","10 to 49",NA,NA,NA,5,NA,10
"Number of Businesses",2023,"Mid and East Antrim","Agriculture, Forestry & Fishing","50 to 249",NA,NA,NA,NA,NA,NA
"Number of Businesses",2023,"Mid and East Antrim","Agriculture, Forestry & Fishing","250+",NA,NA,NA,NA,NA,NA
"Number of Businesses",2023,"Mid and East Antrim","Agriculture, Forestry & Fishing","All",995,345,60,25,NA,1425
"Number of Businesses",2023,"Mid and East Antrim","Production","0",30,15,NA,NA,NA,45
"Number of Businesses",2023,"Mid and East Antrim","Production","1 to 9",105,115,20,20,NA,265
"Number of Businesses",2023,"Mid and East Antrim","Production","10 to 49",NA,5,5,40,10,65
"Number of Businesses",2023,"Mid and East Antrim","Production","50 to 249",NA,NA,NA,NA,10,10
"Number of Businesses",2023,"Mid and East Antrim","Production","250+",NA,NA,NA,NA,NA,NA
"Number of Businesses",2023,"Mid and East Antrim","Production","All",140,135,30,60,25,385
"Number of Businesses",2023,"Mid and East Antrim","Construction","0",95,60,10,NA,NA,165
"Number of Businesses",2023,"Mid and East Antrim","Construction","1 to 9",155,220,55,35,NA,460
"Number of Businesses",2023,"Mid and East Antrim","Construction","10 to 49",NA,NA,NA,15,5,25
"Number of Businesses",2023,"Mid and East Antrim","Construction","50 to 249",NA,NA,NA,NA,5,5
"Number of Businesses",2023,"Mid and East Antrim","Construction","250+",NA,NA,NA,NA,NA,NA
"Number of Businesses",2023,"Mid and East Antrim","Construction","All",250,275,65,50,15,660
"Number of Businesses",2023,"Mid and East Antrim","Motor Trades","0",15,15,5,NA,NA,40
"Number of Businesses",2023,"Mid and East Antrim","Motor Trades","1 to 9",30,85,25,20,NA,165
"Number of Businesses",2023,"Mid and East Antrim","Motor Trades","10 to 49",NA,NA,NA,NA,5,15
"Number of Businesses",2023,"Mid and East Antrim","Motor Trades","50 to 249",NA,NA,NA,NA,NA,NA
"Number of Businesses",2023,"Mid and East Antrim","Motor Trades","250+",NA,NA,NA,NA,NA,NA
"Number of Businesses",2023,"Mid and East Antrim","Motor Trades","All",45,100,35,25,10,215
"Number of Businesses",2023,"Mid and East Antrim","Wholesale","0",15,5,NA,NA,NA,25
"Number of Businesses",2023,"Mid and East Antrim","Wholesale","1 to 9",20,40,20,35,10,130
"Number of Businesses",2023,"Mid and East Antrim","Wholesale","10 to 49",NA,NA,NA,15,10,25
"Number of Businesses",2023,"Mid and East Antrim","Wholesale","50 to 249",NA,NA,NA,NA,10,10
"Number of Businesses",2023,"Mid and East Antrim","Wholesale","250+",NA,NA,NA,NA,NA,NA
"Number of Businesses",2023,"Mid and East Antrim","Wholesale","All",35,50,20,55,25,185
"Number of Businesses",2023,"Mid and East Antrim","Retail","0",15,15,NA,NA,NA,35
"Number of Businesses",2023,"Mid and East Antrim","Retail","1 to 9",75,155,40,25,NA,295
"Number of Businesses",2023,"Mid and East Antrim","Retail","10 to 49",NA,NA,NA,45,NA,55
"Number of Businesses",2023,"Mid and East Antrim","Retail","50 to 249",NA,NA,NA,NA,NA,5
"Number of Businesses",2023,"Mid and East Antrim","Retail","250+",NA,NA,NA,NA,NA,NA
"Number of Businesses",2023,"Mid and East Antrim","Retail","All",90,170,45,70,10,390
"Number of Businesses",2023,"Mid and East Antrim","Transport & Storage (inc Postal)","0",35,10,NA,NA,NA,45
"Number of Businesses",2023,"Mid and East Antrim","Transport & Storage (inc Postal)","1 to 9",30,45,15,10,NA,95
"Number of Businesses",2023,"Mid and East Antrim","Transport & Storage (inc Postal)","10 to 49",NA,NA,NA,5,5,15
"Number of Businesses",2023,"Mid and East Antrim","Transport & Storage (inc Postal)","50 to 249",NA,NA,NA,NA,NA,NA
"Number of Businesses",2023,"Mid and East Antrim","Transport & Storage (inc Postal)","250+",NA,NA,NA,NA,NA,NA
"Number of Businesses",2023,"Mid and East Antrim","Transport & Storage (inc Postal)","All",65,55,15,15,10,155
"Number of Businesses",2023,"Mid and East Antrim","Accommodation & Food Services","0",5,10,NA,NA,NA,15
"Number of Businesses",2023,"Mid and East Antrim","Accommodation & Food Services","1 to 9",95,110,NA,NA,NA,210
"Number of Businesses",2023,"Mid and East Antrim","Accommodation & Food Services","10 to 49",NA,35,20,5,NA,65
"Number of Businesses",2023,"Mid and East Antrim","Accommodation & Food Services","50 to 249",NA,NA,NA,NA,NA,NA
"Number of Businesses",2023,"Mid and East Antrim","Accommodation & Food Services","250+",NA,NA,NA,NA,NA,NA
"Number of Businesses",2023,"Mid and East Antrim","Accommodation & Food Services","All",105,155,25,10,NA,295
"Number of Businesses",2023,"Mid and East Antrim","Information & Communication","0",5,NA,NA,NA,NA,5
"Number of Businesses",2023,"Mid and East Antrim","Information & Communication","1 to 9",50,25,5,NA,NA,80
"Number of Businesses",2023,"Mid and East Antrim","Information & Communication","10 to 49",NA,NA,NA,NA,NA,NA
"Number of Businesses",2023,"Mid and East Antrim","Information & Communication","50 to 249",NA,NA,NA,NA,NA,NA
"Number of Businesses",2023,"Mid and East Antrim","Information & Communication","250+",NA,NA,NA,NA,NA,NA
"Number of Businesses",2023,"Mid and East Antrim","Information & Communication","All",55,25,5,NA,NA,90
"Number of Businesses",2023,"Mid and East Antrim","Finance & Insurance","0",10,NA,NA,NA,NA,10
"Number of Businesses",2023,"Mid and East Antrim","Finance & Insurance","1 to 9",NA,25,5,NA,NA,35
"Number of Businesses",2023,"Mid and East Antrim","Finance & Insurance","10 to 49",NA,NA,NA,10,NA,10
"Number of Businesses",2023,"Mid and East Antrim","Finance & Insurance","50 to 249",NA,NA,NA,NA,NA,NA
"Number of Businesses",2023,"Mid and East Antrim","Finance & Insurance","250+",NA,NA,NA,NA,NA,NA
"Number of Businesses",2023,"Mid and East Antrim","Finance & Insurance","All",15,25,5,10,NA,55
"Number of Businesses",2023,"Mid and East Antrim","Property","0",25,5,NA,NA,NA,35
"Number of Businesses",2023,"Mid and East Antrim","Property","1 to 9",45,45,NA,NA,NA,95
"Number of Businesses",2023,"Mid and East Antrim","Property","10 to 49",NA,NA,NA,5,NA,5
"Number of Businesses",2023,"Mid and East Antrim","Property","50 to 249",NA,NA,NA,NA,NA,NA
"Number of Businesses",2023,"Mid and East Antrim","Property","250+",NA,NA,NA,NA,NA,NA
"Number of Businesses",2023,"Mid and East Antrim","Property","All",70,50,NA,10,NA,135
"Number of Businesses",2023,"Mid and East Antrim","Professional, Scientific & Technical","0",15,10,NA,NA,NA,25
"Number of Businesses",2023,"Mid and East Antrim","Professional, Scientific & Technical","1 to 9",120,150,15,NA,NA,285
"Number of Businesses",2023,"Mid and East Antrim","Professional, Scientific & Technical","10 to 49",NA,NA,5,10,NA,20
"Number of Businesses",2023,"Mid and East Antrim","Professional, Scientific & Technical","50 to 249",NA,NA,NA,NA,NA,NA
"Number of Businesses",2023,"Mid and East Antrim","Professional, Scientific & Technical","250+",NA,NA,NA,NA,NA,NA
"Number of Businesses",2023,"Mid and East Antrim","Professional, Scientific & Technical","All",130,160,20,15,NA,335
"Number of Businesses",2023,"Mid and East Antrim","Business Administration and Support Services","0",10,10,NA,NA,NA,20
"Number of Businesses",2023,"Mid and East Antrim","Business Administration and Support Services","1 to 9",45,85,10,5,NA,145
"Number of Businesses",2023,"Mid and East Antrim","Business Administration and Support Services","10 to 49",NA,NA,NA,NA,NA,5
"Number of Businesses",2023,"Mid and East Antrim","Business Administration and Support Services","50 to 249",NA,NA,NA,NA,NA,NA
"Number of Businesses",2023,"Mid and East Antrim","Business Administration and Support Services","250+",NA,NA,NA,NA,NA,NA
"Number of Businesses",2023,"Mid and East Antrim","Business Administration and Support Services","All",55,95,15,5,NA,180
"Number of Businesses",2023,"Mid and East Antrim","Public Administration and Defence","0",NA,NA,NA,NA,NA,NA
"Number of Businesses",2023,"Mid and East Antrim","Public Administration and Defence","1 to 9",NA,NA,NA,NA,NA,NA
"Number of Businesses",2023,"Mid and East Antrim","Public Administration and Defence","10 to 49",NA,NA,NA,NA,NA,NA
"Number of Businesses",2023,"Mid and East Antrim","Public Administration and Defence","50 to 249",NA,NA,NA,NA,NA,NA
"Number of Businesses",2023,"Mid and East Antrim","Public Administration and Defence","250+",NA,NA,NA,NA,NA,NA
"Number of Businesses",2023,"Mid and East Antrim","Public Administration and Defence","All",NA,NA,NA,NA,NA,NA
"Number of Businesses",2023,"Mid and East Antrim","Education","0",NA,NA,NA,NA,NA,NA
"Number of Businesses",2023,"Mid and East Antrim","Education","1 to 9",15,15,NA,NA,NA,30
"Number of Businesses",2023,"Mid and East Antrim","Education","10 to 49",NA,NA,NA,NA,NA,5
"Number of Businesses",2023,"Mid and East Antrim","Education","50 to 249",NA,NA,NA,NA,NA,5
"Number of Businesses",2023,"Mid and East Antrim","Education","250+",NA,NA,NA,NA,NA,NA
"Number of Businesses",2023,"Mid and East Antrim","Education","All",15,20,NA,10,NA,45
"Number of Businesses",2023,"Mid and East Antrim","Health","0",NA,NA,NA,NA,NA,NA
"Number of Businesses",2023,"Mid and East Antrim","Health","1 to 9",25,70,10,NA,NA,110
"Number of Businesses",2023,"Mid and East Antrim","Health","10 to 49",NA,NA,15,30,NA,50
"Number of Businesses",2023,"Mid and East Antrim","Health","50 to 249",NA,NA,NA,NA,NA,NA
"Number of Businesses",2023,"Mid and East Antrim","Health","250+",NA,NA,NA,NA,NA,NA
"Number of Businesses",2023,"Mid and East Antrim","Health","All",30,75,25,30,NA,165
"Number of Businesses",2023,"Mid and East Antrim","Arts, Entertainment, Recreation and Other Services","0",10,NA,NA,NA,NA,15
"Number of Businesses",2023,"Mid and East Antrim","Arts, Entertainment, Recreation and Other Services","1 to 9",175,130,NA,NA,NA,305
"Number of Businesses",2023,"Mid and East Antrim","Arts, Entertainment, Recreation and Other Services","10 to 49",10,15,10,NA,NA,35
"Number of Businesses",2023,"Mid and East Antrim","Arts, Entertainment, Recreation and Other Services","50 to 249",NA,NA,NA,NA,NA,NA
"Number of Businesses",2023,"Mid and East Antrim","Arts, Entertainment, Recreation and Other Services","250+",NA,NA,NA,NA,NA,NA
"Number of Businesses",2023,"Mid and East Antrim","Arts, Entertainment, Recreation and Other Services","All",190,145,10,NA,NA,355
"Number of Businesses",2023,"Mid and East Antrim","All Industries","0",1220,355,20,15,NA,1605
"Number of Businesses",2023,"Mid and East Antrim","All Industries","1 to 9",1040,1460,290,175,25,2990
"Number of Businesses",2023,"Mid and East Antrim","All Industries","10 to 49",20,75,75,190,40,400
"Number of Businesses",2023,"Mid and East Antrim","All Industries","50 to 249",NA,NA,NA,15,35,55
"Number of Businesses",2023,"Mid and East Antrim","All Industries","250+",NA,NA,NA,NA,15,15
"Number of Businesses",2023,"Mid and East Antrim","All Industries","All",2280,1890,385,395,115,5065
"Number of Businesses",2023,"Mid Ulster","Agriculture, Forestry & Fishing","0",2165,395,NA,NA,NA,2565
"Number of Businesses",2023,"Mid Ulster","Agriculture, Forestry & Fishing","1 to 9",115,400,125,55,NA,700
"Number of Businesses",2023,"Mid Ulster","Agriculture, Forestry & Fishing","10 to 49",NA,NA,NA,25,NA,35
"Number of Businesses",2023,"Mid Ulster","Agriculture, Forestry & Fishing","50 to 249",NA,NA,NA,NA,NA,NA
"Number of Businesses",2023,"Mid Ulster","Agriculture, Forestry & Fishing","250+",NA,NA,NA,NA,NA,NA
"Number of Businesses",2023,"Mid Ulster","Agriculture, Forestry & Fishing","All",2280,795,130,85,5,3300
"Number of Businesses",2023,"Mid Ulster","Production","0",80,35,NA,NA,NA,120
"Number of Businesses",2023,"Mid Ulster","Production","1 to 9",175,290,80,55,NA,600
"Number of Businesses",2023,"Mid Ulster","Production","10 to 49",NA,NA,15,85,35,140
"Number of Businesses",2023,"Mid Ulster","Production","50 to 249",NA,NA,NA,NA,45,45
"Number of Businesses",2023,"Mid Ulster","Production","250+",NA,NA,NA,NA,15,15
"Number of Businesses",2023,"Mid Ulster","Production","All",255,330,100,145,95,920
"Number of Businesses",2023,"Mid Ulster","Construction","0",300,120,5,NA,NA,430
"Number of Businesses",2023,"Mid Ulster","Construction","1 to 9",330,525,110,115,10,1090
"Number of Businesses",2023,"Mid Ulster","Construction","10 to 49",NA,NA,5,45,15,70
"Number of Businesses",2023,"Mid Ulster","Construction","50 to 249",NA,NA,NA,NA,15,15
"Number of Businesses",2023,"Mid Ulster","Construction","250+",NA,NA,NA,NA,NA,NA
"Number of Businesses",2023,"Mid Ulster","Construction","All",630,645,125,160,45,1605
"Number of Businesses",2023,"Mid Ulster","Motor Trades","0",50,25,10,NA,NA,85
"Number of Businesses",2023,"Mid Ulster","Motor Trades","1 to 9",50,110,35,50,10,250
"Number of Businesses",2023,"Mid Ulster","Motor Trades","10 to 49",NA,NA,NA,5,15,20
"Number of Businesses",2023,"Mid Ulster","Motor Trades","50 to 249",NA,NA,NA,NA,NA,NA
"Number of Businesses",2023,"Mid Ulster","Motor Trades","250+",NA,NA,NA,NA,NA,NA
"Number of Businesses",2023,"Mid Ulster","Motor Trades","All",100,135,45,60,25,360
"Number of Businesses",2023,"Mid Ulster","Wholesale","0",20,25,5,NA,NA,50
"Number of Businesses",2023,"Mid Ulster","Wholesale","1 to 9",50,85,35,55,15,235
"Number of Businesses",2023,"Mid Ulster","Wholesale","10 to 49",NA,NA,NA,25,25,50
"Number of Businesses",2023,"Mid Ulster","Wholesale","50 to 249",NA,NA,NA,NA,5,5
"Number of Businesses",2023,"Mid Ulster","Wholesale","250+",NA,NA,NA,NA,NA,NA
"Number of Businesses",2023,"Mid Ulster","Wholesale","All",70,105,40,80,45,345
