"Statistic","Quarter","NI Major Port","Direction of flow","Other General Cargo","Dry Bulk","Liquid Bulk","Lo-Lo","Ro-Ro Freight","Ro-Ro Non-Freight","All"
"Tonnage","2023Q1","Warrenpoint","Outwards",50.74702644,45.15838564,0,0,296.0763129,2.511275013,394.493
"Tonnage","2023Q2","Belfast","Inwards",73.27099183,825.1884131,420.9010437,234.4825068,1025.547182,10.3438625,2589.734
"Tonnage","2023Q2","Belfast","Outwards",9.32989344,628.3782383,0,185.7205009,1186.615411,0.178955965,2010.223
"Tonnage","2023Q2","Kilroot Power Station Jetty","Inwards",0,47.298,0,0,0,0,47.298
"Tonnage","2023Q2","Kilroot Power Station Jetty","Outwards",0,5.839,0,0,0,0,5.839
"Tonnage","2023Q2","Larne","Inwards",0,4.224125707,0.964398543,0,452.6714513,1.396024475,459.256
"Tonnage","2023Q2","Larne","Outwards",0.075007782,0,0,0,395.0909922,0,395.166
"Tonnage","2023Q2","Londonderry","Inwards",45.19250022,339.7494713,40.36802852,0,0,0,425.31
"Tonnage","2023Q2","Londonderry","Outwards",13.10967896,22.86132104,0,0,0,0,35.971
"Tonnage","2023Q2","Warrenpoint","Inwards",76.57681365,62.16842646,5.819227032,0,245.6480866,8.597446284,398.81
"Tonnage","2023Q2","Warrenpoint","Outwards",49.49515413,42.46756814,0,0,328.973845,3.10943276,424.046
"Total Units","2018Q1","Belfast","Inwards",0,0,0,16.52927782,66.41163668,39.22597033,122.1668848
"Total Units","2018Q1","Belfast","Outwards",0,0,0,15.95768329,68.60553763,27.53264154,112.0958625
"Total Units","2018Q1","Kilroot Power Station Jetty","Inwards",0,0,0,0,0,0,0
"Total Units","2018Q1","Kilroot Power Station Jetty","Outwards",0,0,0,0,0,0,0
"Total Units","2018Q1","Larne","Inwards",0,0,0,0,25.81732493,10.914,36.73132493
"Total Units","2018Q1","Larne","Outwards",0,0,0,0,23.255,9.939,33.194
"Total Units","2018Q1","Londonderry","Inwards",0,0,0,0,0,0,0
"Total Units","2018Q1","Londonderry","Outwards",0,0,0,0,0,0,0
"Total Units","2018Q1","Warrenpoint","Inwards",0,0,0,1.395662802,12.03970972,2.754932769,16.19030529
"Total Units","2018Q1","Warrenpoint","Outwards",0,0,0,1.295213503,13.25375793,0.285606178,14.83457761
"Total Units","2018Q2","Belfast","Inwards",0,0,0,16.03486165,72.23851404,55.92406708,144.1974428
"Total Units","2018Q2","Belfast","Outwards",0,0,0,16.14049362,73.99160836,42.07944296,132.2115449
"Total Units","2018Q2","Kilroot Power Station Jetty","Inwards",0,0,0,0,0,0,0
"Total Units","2018Q2","Kilroot Power Station Jetty","Outwards",0,0,0,0,0,0,0
"Total Units","2018Q2","Larne","Inwards",0,0,0,0,25.81795338,18.702,44.51995338
"Total Units","2018Q2","Larne","Outwards",0,0,0,0,23.753,17.61,41.363
"Total Units","2018Q2","Londonderry","Inwards",0,0,0,0,0,0,0
"Total Units","2018Q2","Londonderry","Outwards",0,0,0,0,0,0,0
"Total Units","2018Q2","Warrenpoint","Inwards",0,0,0,1.883794016,12.68575484,3.488841628,18.05839049
"Total Units","2018Q2","Warrenpoint","Outwards",0,0,0,1.916811601,13.69466465,0.347567761,15.95904402
"Total Units","2018Q3","Belfast","Inwards",0,0,0,16.21385521,69.76901111,67.69862222,153.6814885
"Total Units","2018Q3","Belfast","Outwards",0,0,0,15.18540025,70.85201069,55.68123358,141.7186445
"Total Units","2018Q3","Kilroot Power Station Jetty","Inwards",0,0,0,0,0,0,0
"Total Units","2018Q3","Kilroot Power Station Jetty","Outwards",0,0,0,0,0,0,0
"Total Units","2018Q3","Larne","Inwards",0,0,0,0,25.98427974,26.535,52.51927974
"Total Units","2018Q3","Larne","Outwards",0,0,0,0,24.513,25.065,49.578
"Total Units","2018Q3","Londonderry","Inwards",0,0,0,0,0,0,0
"Total Units","2018Q3","Londonderry","Outwards",0,0,0,0,0,0,0
"Total Units","2018Q3","Warrenpoint","Inwards",0,0,0,1.090036517,13.03321001,3.312154737,17.43540126
"Total Units","2018Q3","Warrenpoint","Outwards",0,0,0,1.153489177,8.935278281,0.239417375,10.32818483
"Total Units","2018Q4","Belfast","Inwards",0,0,0,15.80200532,70.18183818,44.20134036,130.1851839
