"Statistic","Year","Northern Ireland"
"Torsk (Tusk)",2020,NA
"Torsk (Tusk)",2021,NA
"Torsk (Tusk)",2022,NA
"Torsk (Tusk)",2023,NA
"Thornback Ray",2016,40.293
"Thornback Ray",2017,51.93
"Thornback Ray",2018,70.413
"Thornback Ray",2019,69.067
"Thornback Ray",2020,36.229
"Thornback Ray",2021,90.162
"Thornback Ray",2022,57.912
"Thornback Ray",2023,40.2
"Turbot",2016,9.29
"Turbot",2017,11.607
"Turbot",2018,7.793
"Turbot",2019,6.937
"Turbot",2020,5.566
"Turbot",2021,5.177
"Turbot",2022,5.151
"Turbot",2023,5.11
"Unidentified Dogfish",2016,NA
"Unidentified Dogfish",2017,NA
"Unidentified Dogfish",2018,NA
"Unidentified Dogfish",2019,0.007
"Unidentified Dogfish",2020,0.56
"Unidentified Dogfish",2021,NA
"Unidentified Dogfish",2022,1.55
"Unidentified Dogfish",2023,1.24
"Undulate Ray",2016,0.045
"Undulate Ray",2017,NA
"Undulate Ray",2018,NA
"Undulate Ray",2019,NA
"Undulate Ray",2020,NA
"Undulate Ray",2021,NA
"Undulate Ray",2022,NA
"Undulate Ray",2023,NA
"Whelks",2016,90.322
"Whelks",2017,77.422
"Whelks",2018,71.406
"Whelks",2019,81.629
"Whelks",2020,83.701
"Whelks",2021,18.152
"Whelks",2022,31.681
"Whelks",2023,16.81
"Whiting",2016,79.473
"Whiting",2017,23.94
"Whiting",2018,20.53
"Whiting",2019,92.234
"Whiting",2020,30.472
"Whiting",2021,61.294
"Whiting",2022,54.472
"Whiting",2023,37.34
"Witch",2016,29.333
"Witch",2017,26.907
"Witch",2018,25.568
"Witch",2019,32.988
"Witch",2020,17.081
"Witch",2021,26.237
"Witch",2022,14.481
"Witch",2023,13.89
"Wrasses",2016,0.048
"Wrasses",2017,0.057
"Wrasses",2018,0.056
"Wrasses",2019,NA
"Wrasses",2020,NA
"Wrasses",2021,NA
"Wrasses",2022,NA
"Wrasses",2023,NA
