"Statistic","Academic year","Local Government District","Attainment","Free school meal entitled","Not free school meal entitled","All persons"
"Number of school leavers","2013/14","Lisburn and Castlereagh","At least 5 GCSEs at grades A*-C (incl. equivalent qualifications) including GCSE English and maths",47,1192,1239
"Number of school leavers","2013/14","Lisburn and Castlereagh","Total leavers",144,1513,1657
"Number of school leavers","2013/14","Mid and East Antrim","At least 3 A-levels at grades A*-C (incl. equivalent qualifications)",25,601,626
"Number of school leavers","2013/14","Mid and East Antrim","At least 3 A-levels at grades A*-E (incl. equivalent qualifications)",43,827,870
"Number of school leavers","2013/14","Mid and East Antrim","At least 2 A-levels at grades A*-E (incl. equivalent qualifications)",52,874,926
"Number of school leavers","2013/14","Mid and East Antrim","At least 5 GCSEs at grades A*-C (incl. equivalent qualifications)",110,1192,1302
"Number of school leavers","2013/14","Mid and East Antrim","At least 5 GCSEs at grades A*-C (incl. equivalent qualifications) including GCSE English and maths",61,1001,1062
"Number of school leavers","2013/14","Mid and East Antrim","Total leavers",188,1400,1588
"Number of school leavers","2013/14","Mid Ulster","At least 3 A-levels at grades A*-C (incl. equivalent qualifications)",74,655,729
"Number of school leavers","2013/14","Mid Ulster","At least 3 A-levels at grades A*-E (incl. equivalent qualifications)",96,852,948
"Number of school leavers","2013/14","Mid Ulster","At least 2 A-levels at grades A*-E (incl. equivalent qualifications)",108,915,1023
"Number of school leavers","2013/14","Mid Ulster","At least 5 GCSEs at grades A*-C (incl. equivalent qualifications)",193,1251,1444
"Number of school leavers","2013/14","Mid Ulster","At least 5 GCSEs at grades A*-C (incl. equivalent qualifications) including GCSE English and maths",117,1022,1139
"Number of school leavers","2013/14","Mid Ulster","Total leavers",331,1531,1862
"Number of school leavers","2013/14","Newry, Mourne and Down","At least 3 A-levels at grades A*-C (incl. equivalent qualifications)",90,814,904
"Number of school leavers","2013/14","Newry, Mourne and Down","At least 3 A-levels at grades A*-E (incl. equivalent qualifications)",126,1114,1240
"Number of school leavers","2013/14","Newry, Mourne and Down","At least 2 A-levels at grades A*-E (incl. equivalent qualifications)",140,1198,1338
"Number of school leavers","2013/14","Newry, Mourne and Down","At least 5 GCSEs at grades A*-C (incl. equivalent qualifications)",223,1597,1820
"Number of school leavers","2013/14","Newry, Mourne and Down","At least 5 GCSEs at grades A*-C (incl. equivalent qualifications) including GCSE English and maths",170,1365,1535
"Number of school leavers","2013/14","Newry, Mourne and Down","Total leavers",426,1931,2357
