"Statistic","Academic year","Local Government District","Attainment","Free school meal entitled","Not free school meal entitled","All persons"
"Percentage of school leavers","2019/20","Mid Ulster","At least 5 GCSEs at grades A*-C (incl. equivalent qualifications)",85.6,95.7,93.5
"Percentage of school leavers","2019/20","Mid Ulster","At least 5 GCSEs at grades A*-C (incl. equivalent qualifications) including GCSE English and maths",63,83.8,79.3
"Percentage of school leavers","2019/20","Mid Ulster","Total leavers",NA,NA,NA
"Percentage of school leavers","2019/20","Newry, Mourne and Down","At least 3 A-levels at grades A*-C (incl. equivalent qualifications)",30.8,57.7,50.8
"Percentage of school leavers","2019/20","Newry, Mourne and Down","At least 3 A-levels at grades A*-E (incl. equivalent qualifications)",33,61.9,54.4
"Percentage of school leavers","2019/20","Newry, Mourne and Down","At least 2 A-levels at grades A*-E (incl. equivalent qualifications)",36.1,65.3,57.7
"Percentage of school leavers","2019/20","Newry, Mourne and Down","At least 5 GCSEs at grades A*-C (incl. equivalent qualifications)",76,93.2,88.7
"Percentage of school leavers","2019/20","Newry, Mourne and Down","At least 5 GCSEs at grades A*-C (incl. equivalent qualifications) including GCSE English and maths",57,83.9,76.9
"Percentage of school leavers","2019/20","Newry, Mourne and Down","Total leavers",NA,NA,NA
"Percentage of school leavers","2019/20","Ards and North Down","At least 3 A-levels at grades A*-C (incl. equivalent qualifications)",30.2,58.9,53.6
"Percentage of school leavers","2019/20","Ards and North Down","At least 3 A-levels at grades A*-E (incl. equivalent qualifications)",34.7,65.9,60.2
"Percentage of school leavers","2019/20","Ards and North Down","At least 2 A-levels at grades A*-E (incl. equivalent qualifications)",39.2,68,62.7
"Percentage of school leavers","2019/20","Ards and North Down","At least 5 GCSEs at grades A*-C (incl. equivalent qualifications)",85.2,95.5,93.6
"Percentage of school leavers","2019/20","Ards and North Down","At least 5 GCSEs at grades A*-C (incl. equivalent qualifications) including GCSE English and maths",54,84.5,78.9
"Percentage of school leavers","2019/20","Ards and North Down","Total leavers",NA,NA,NA
"Percentage of school leavers","2019/20","Northern Ireland","At least 3 A-levels at grades A*-C (incl. equivalent qualifications)",32.3,59.2,52.2
"Percentage of school leavers","2019/20","Northern Ireland","At least 3 A-levels at grades A*-E (incl. equivalent qualifications)",37,64.2,57.1
"Percentage of school leavers","2019/20","Northern Ireland","At least 2 A-levels at grades A*-E (incl. equivalent qualifications)",40.3,66.7,59.8
"Percentage of school leavers","2019/20","Northern Ireland","At least 5 GCSEs at grades A*-C (incl. equivalent qualifications)",82.3,94.4,91.3
"Percentage of school leavers","2019/20","Northern Ireland","At least 5 GCSEs at grades A*-C (incl. equivalent qualifications) including GCSE English and maths",55.7,83.4,76.2
"Percentage of school leavers","2019/20","Northern Ireland","Total leavers",NA,NA,NA
"Percentage of school leavers","2020/21","Antrim and Newtownabbey","At least 3 A-levels at grades A*-C (incl. equivalent qualifications)",29.1,62.2,55.1
"Percentage of school leavers","2020/21","Antrim and Newtownabbey","At least 3 A-levels at grades A*-E (incl. equivalent qualifications)",34.7,67.6,60.5
"Percentage of school leavers","2020/21","Antrim and Newtownabbey","At least 2 A-levels at grades A*-E (incl. equivalent qualifications)",39.2,69.4,62.9
"Percentage of school leavers","2020/21","Antrim and Newtownabbey","At least 5 GCSEs at grades A*-C (incl. equivalent qualifications)",86.8,95.7,93.8
"Percentage of school leavers","2020/21","Antrim and Newtownabbey","At least 5 GCSEs at grades A*-C (incl. equivalent qualifications) including GCSE English and maths",56.9,85,78.9
"Percentage of school leavers","2020/21","Antrim and Newtownabbey","Total leavers",NA,NA,NA
"Percentage of school leavers","2020/21","Armagh City, Banbridge and Craigavon","At least 3 A-levels at grades A*-C (incl. equivalent qualifications)",23.4,49.5,43.9
"Percentage of school leavers","2020/21","Armagh City, Banbridge and Craigavon","At least 3 A-levels at grades A*-E (incl. equivalent qualifications)",27.2,54.9,48.9
"Percentage of school leavers","2020/21","Armagh City, Banbridge and Craigavon","At least 2 A-levels at grades A*-E (incl. equivalent qualifications)",30,56.5,50.7
"Percentage of school leavers","2020/21","Armagh City, Banbridge and Craigavon","At least 5 GCSEs at grades A*-C (incl. equivalent qualifications)",80.1,93.4,90.5
"Percentage of school leavers","2020/21","Armagh City, Banbridge and Craigavon","At least 5 GCSEs at grades A*-C (incl. equivalent qualifications) including GCSE English and maths",54.7,79.8,74.4
"Percentage of school leavers","2020/21","Armagh City, Banbridge and Craigavon","Total leavers",NA,NA,NA
"Percentage of school leavers","2020/21","Belfast","At least 3 A-levels at grades A*-C (incl. equivalent qualifications)",34.7,64.5,52.7
"Percentage of school leavers","2020/21","Belfast","At least 3 A-levels at grades A*-E (incl. equivalent qualifications)",39.7,71.1,58.7
"Percentage of school leavers","2020/21","Belfast","At least 2 A-levels at grades A*-E (incl. equivalent qualifications)",43.9,74.1,62.1
"Percentage of school leavers","2020/21","Belfast","At least 5 GCSEs at grades A*-C (incl. equivalent qualifications)",86.2,94.7,91.3
"Percentage of school leavers","2020/21","Belfast","At least 5 GCSEs at grades A*-C (incl. equivalent qualifications) including GCSE English and maths",54.9,82.9,71.8
"Percentage of school leavers","2020/21","Belfast","Total leavers",NA,NA,NA
"Percentage of school leavers","2020/21","Causeway Coast and Glens","At least 3 A-levels at grades A*-C (incl. equivalent qualifications)",27.9,56.7,49.2
"Percentage of school leavers","2020/21","Causeway Coast and Glens","At least 3 A-levels at grades A*-E (incl. equivalent qualifications)",31.8,61.8,54.1
"Percentage of school leavers","2020/21","Causeway Coast and Glens","At least 2 A-levels at grades A*-E (incl. equivalent qualifications)",33.6,64,56.1
"Percentage of school leavers","2020/21","Causeway Coast and Glens","At least 5 GCSEs at grades A*-C (incl. equivalent qualifications)",83.8,94.4,91.7
"Percentage of school leavers","2020/21","Causeway Coast and Glens","At least 5 GCSEs at grades A*-C (incl. equivalent qualifications) including GCSE English and maths",58.7,83.9,77.4
"Percentage of school leavers","2020/21","Causeway Coast and Glens","Total leavers",NA,NA,NA
"Percentage of school leavers","2020/21","Derry City and Strabane","At least 3 A-levels at grades A*-C (incl. equivalent qualifications)",32.8,62.4,52.3
"Percentage of school leavers","2020/21","Derry City and Strabane","At least 3 A-levels at grades A*-E (incl. equivalent qualifications)",39.4,69,59
"Percentage of school leavers","2020/21","Derry City and Strabane","At least 2 A-levels at grades A*-E (incl. equivalent qualifications)",42.2,70.2,60.7
"Percentage of school leavers","2020/21","Derry City and Strabane","At least 5 GCSEs at grades A*-C (incl. equivalent qualifications)",87.9,95.7,93
"Percentage of school leavers","2020/21","Derry City and Strabane","At least 5 GCSEs at grades A*-C (incl. equivalent qualifications) including GCSE English and maths",65.4,87.3,79.9
"Percentage of school leavers","2020/21","Derry City and Strabane","Total leavers",NA,NA,NA
"Percentage of school leavers","2020/21","Fermanagh and Omagh","At least 3 A-levels at grades A*-C (incl. equivalent qualifications)",49.8,64.6,61.6
"Percentage of school leavers","2020/21","Fermanagh and Omagh","At least 3 A-levels at grades A*-E (incl. equivalent qualifications)",55.8,69.5,66.8
"Percentage of school leavers","2020/21","Fermanagh and Omagh","At least 2 A-levels at grades A*-E (incl. equivalent qualifications)",57.8,71.4,68.6
"Percentage of school leavers","2020/21","Fermanagh and Omagh","At least 5 GCSEs at grades A*-C (incl. equivalent qualifications)",92.4,96.6,95.8
"Percentage of school leavers","2020/21","Fermanagh and Omagh","At least 5 GCSEs at grades A*-C (incl. equivalent qualifications) including GCSE English and maths",78.7,87.7,85.9
"Percentage of school leavers","2020/21","Fermanagh and Omagh","Total leavers",NA,NA,NA
"Percentage of school leavers","2020/21","Lisburn and Castlereagh","At least 3 A-levels at grades A*-C (incl. equivalent qualifications)",32.7,64.3,59
"Percentage of school leavers","2020/21","Lisburn and Castlereagh","At least 3 A-levels at grades A*-E (incl. equivalent qualifications)",37.6,69.6,64.2
"Percentage of school leavers","2020/21","Lisburn and Castlereagh","At least 2 A-levels at grades A*-E (incl. equivalent qualifications)",39.2,71.4,66
"Percentage of school leavers","2020/21","Lisburn and Castlereagh","At least 5 GCSEs at grades A*-C (incl. equivalent qualifications)",85.9,95.5,93.9
"Percentage of school leavers","2020/21","Lisburn and Castlereagh","At least 5 GCSEs at grades A*-C (incl. equivalent qualifications) including GCSE English and maths",58.2,86.8,82
"Percentage of school leavers","2020/21","Lisburn and Castlereagh","Total leavers",NA,NA,NA
"Percentage of school leavers","2020/21","Mid and East Antrim","At least 3 A-levels at grades A*-C (incl. equivalent qualifications)",28.6,59.7,52.6
"Percentage of school leavers","2020/21","Mid and East Antrim","At least 3 A-levels at grades A*-E (incl. equivalent qualifications)",33.7,64.7,57.6
"Percentage of school leavers","2020/21","Mid and East Antrim","At least 2 A-levels at grades A*-E (incl. equivalent qualifications)",37.1,66.8,60
"Percentage of school leavers","2020/21","Mid and East Antrim","At least 5 GCSEs at grades A*-C (incl. equivalent qualifications)",79.7,94,90.7
"Percentage of school leavers","2020/21","Mid and East Antrim","At least 5 GCSEs at grades A*-C (incl. equivalent qualifications) including GCSE English and maths",54,80.9,74.8
"Percentage of school leavers","2020/21","Mid and East Antrim","Total leavers",NA,NA,NA
"Percentage of school leavers","2020/21","Mid Ulster","At least 3 A-levels at grades A*-C (incl. equivalent qualifications)",33.6,58.7,52.9
"Percentage of school leavers","2020/21","Mid Ulster","At least 3 A-levels at grades A*-E (incl. equivalent qualifications)",37.6,62.9,57
"Percentage of school leavers","2020/21","Mid Ulster","At least 2 A-levels at grades A*-E (incl. equivalent qualifications)",38.8,64.1,58.2
"Percentage of school leavers","2020/21","Mid Ulster","At least 5 GCSEs at grades A*-C (incl. equivalent qualifications)",83,94.7,92
"Percentage of school leavers","2020/21","Mid Ulster","At least 5 GCSEs at grades A*-C (incl. equivalent qualifications) including GCSE English and maths",64.1,82.9,78.5
"Percentage of school leavers","2020/21","Mid Ulster","Total leavers",NA,NA,NA
"Percentage of school leavers","2020/21","Newry, Mourne and Down","At least 3 A-levels at grades A*-C (incl. equivalent qualifications)",38.8,58.5,53.8
"Percentage of school leavers","2020/21","Newry, Mourne and Down","At least 3 A-levels at grades A*-E (incl. equivalent qualifications)",41,61.9,57
"Percentage of school leavers","2020/21","Newry, Mourne and Down","At least 2 A-levels at grades A*-E (incl. equivalent qualifications)",45.6,65.9,61.1
"Percentage of school leavers","2020/21","Newry, Mourne and Down","At least 5 GCSEs at grades A*-C (incl. equivalent qualifications)",84,93.2,91.1
"Percentage of school leavers","2020/21","Newry, Mourne and Down","At least 5 GCSEs at grades A*-C (incl. equivalent qualifications) including GCSE English and maths",65.7,83.6,79.4
"Percentage of school leavers","2020/21","Newry, Mourne and Down","Total leavers",NA,NA,NA
"Percentage of school leavers","2020/21","Ards and North Down","At least 3 A-levels at grades A*-C (incl. equivalent qualifications)",32.5,60.6,54.9
"Percentage of school leavers","2020/21","Ards and North Down","At least 3 A-levels at grades A*-E (incl. equivalent qualifications)",37,66.6,60.7
"Percentage of school leavers","2020/21","Ards and North Down","At least 2 A-levels at grades A*-E (incl. equivalent qualifications)",40.2,69.5,63.6
"Percentage of school leavers","2020/21","Ards and North Down","At least 5 GCSEs at grades A*-C (incl. equivalent qualifications)",82.8,94.7,92.3
"Percentage of school leavers","2020/21","Ards and North Down","At least 5 GCSEs at grades A*-C (incl. equivalent qualifications) including GCSE English and maths",59.5,85,79.8
"Percentage of school leavers","2020/21","Ards and North Down","Total leavers",NA,NA,NA
"Percentage of school leavers","2020/21","Northern Ireland","At least 3 A-levels at grades A*-C (incl. equivalent qualifications)",33,59.7,52.9
"Percentage of school leavers","2020/21","Northern Ireland","At least 3 A-levels at grades A*-E (incl. equivalent qualifications)",37.7,65,58
"Percentage of school leavers","2020/21","Northern Ireland","At least 2 A-levels at grades A*-E (incl. equivalent qualifications)",40.9,67.2,60.5
"Percentage of school leavers","2020/21","Northern Ireland","At least 5 GCSEs at grades A*-C (incl. equivalent qualifications)",84.8,94.7,92.1
"Percentage of school leavers","2020/21","Northern Ireland","At least 5 GCSEs at grades A*-C (incl. equivalent qualifications) including GCSE English and maths",59.8,83.8,77.7
"Percentage of school leavers","2020/21","Northern Ireland","Total leavers",NA,NA,NA
"Percentage of school leavers","2021/22","Antrim and Newtownabbey","At least 3 A-levels at grades A*-C (incl. equivalent qualifications)",27.6,52.8,47.3
"Percentage of school leavers","2021/22","Antrim and Newtownabbey","At least 3 A-levels at grades A*-E (incl. equivalent qualifications)",36.6,63.4,57.5
"Percentage of school leavers","2021/22","Antrim and Newtownabbey","At least 2 A-levels at grades A*-E (incl. equivalent qualifications)",40.3,66,60.3
"Percentage of school leavers","2021/22","Antrim and Newtownabbey","At least 5 GCSEs at grades A*-C (incl. equivalent qualifications)",88.9,96.5,94.8
"Percentage of school leavers","2021/22","Antrim and Newtownabbey","At least 5 GCSEs at grades A*-C (incl. equivalent qualifications) including GCSE English and maths",57.9,85.1,79.1
"Percentage of school leavers","2021/22","Antrim and Newtownabbey","Total leavers",NA,NA,NA
"Percentage of school leavers","2021/22","Armagh City, Banbridge and Craigavon","At least 3 A-levels at grades A*-C (incl. equivalent qualifications)",17.7,44.4,38.4
"Percentage of school leavers","2021/22","Armagh City, Banbridge and Craigavon","At least 3 A-levels at grades A*-E (incl. equivalent qualifications)",24.2,53.5,47
"Percentage of school leavers","2021/22","Armagh City, Banbridge and Craigavon","At least 2 A-levels at grades A*-E (incl. equivalent qualifications)",26.3,55.4,48.9
"Percentage of school leavers","2021/22","Armagh City, Banbridge and Craigavon","At least 5 GCSEs at grades A*-C (incl. equivalent qualifications)",81.1,92.9,90.3
"Percentage of school leavers","2021/22","Armagh City, Banbridge and Craigavon","At least 5 GCSEs at grades A*-C (incl. equivalent qualifications) including GCSE English and maths",58.4,81.1,76
"Percentage of school leavers","2021/22","Armagh City, Banbridge and Craigavon","Total leavers",NA,NA,NA
"Percentage of school leavers","2021/22","Belfast","At least 3 A-levels at grades A*-C (incl. equivalent qualifications)",27.9,56.4,45.3
"Percentage of school leavers","2021/22","Belfast","At least 3 A-levels at grades A*-E (incl. equivalent qualifications)",37.3,65.8,54.7
"Percentage of school leavers","2021/22","Belfast","At least 2 A-levels at grades A*-E (incl. equivalent qualifications)",41.2,69,58.2
"Percentage of school leavers","2021/22","Belfast","At least 5 GCSEs at grades A*-C (incl. equivalent qualifications)",82.3,94.5,89.7
"Percentage of school leavers","2021/22","Belfast","At least 5 GCSEs at grades A*-C (incl. equivalent qualifications) including GCSE English and maths",55.1,81.2,71
"Percentage of school leavers","2021/22","Belfast","Total leavers",NA,NA,NA
"Percentage of school leavers","2021/22","Causeway Coast and Glens","At least 3 A-levels at grades A*-C (incl. equivalent qualifications)",23.7,52.5,46.2
"Percentage of school leavers","2021/22","Causeway Coast and Glens","At least 3 A-levels at grades A*-E (incl. equivalent qualifications)",27.4,59.8,52.8
"Percentage of school leavers","2021/22","Causeway Coast and Glens","At least 2 A-levels at grades A*-E (incl. equivalent qualifications)",28.2,61.8,54.5
"Percentage of school leavers","2021/22","Causeway Coast and Glens","At least 5 GCSEs at grades A*-C (incl. equivalent qualifications)",82.8,96,93.1
"Percentage of school leavers","2021/22","Causeway Coast and Glens","At least 5 GCSEs at grades A*-C (incl. equivalent qualifications) including GCSE English and maths",57.9,83.2,77.7
"Percentage of school leavers","2021/22","Causeway Coast and Glens","Total leavers",NA,NA,NA
"Percentage of school leavers","2021/22","Derry City and Strabane","At least 3 A-levels at grades A*-C (incl. equivalent qualifications)",23.8,49.2,40.4
"Percentage of school leavers","2021/22","Derry City and Strabane","At least 3 A-levels at grades A*-E (incl. equivalent qualifications)",31.8,62.5,51.8
"Percentage of school leavers","2021/22","Derry City and Strabane","At least 2 A-levels at grades A*-E (incl. equivalent qualifications)",36.6,65.6,55.5
"Percentage of school leavers","2021/22","Derry City and Strabane","At least 5 GCSEs at grades A*-C (incl. equivalent qualifications)",85.4,94.8,91.6
"Percentage of school leavers","2021/22","Derry City and Strabane","At least 5 GCSEs at grades A*-C (incl. equivalent qualifications) including GCSE English and maths",57.1,85.3,75.5
"Percentage of school leavers","2021/22","Derry City and Strabane","Total leavers",NA,NA,NA
"Percentage of school leavers","2021/22","Fermanagh and Omagh","At least 3 A-levels at grades A*-C (incl. equivalent qualifications)",26.4,50.8,45.6
"Percentage of school leavers","2021/22","Fermanagh and Omagh","At least 3 A-levels at grades A*-E (incl. equivalent qualifications)",32.5,59.8,54
"Percentage of school leavers","2021/22","Fermanagh and Omagh","At least 2 A-levels at grades A*-E (incl. equivalent qualifications)",38.4,66.5,60.6
"Percentage of school leavers","2021/22","Fermanagh and Omagh","At least 5 GCSEs at grades A*-C (incl. equivalent qualifications)",87.3,94.9,93.3
"Percentage of school leavers","2021/22","Fermanagh and Omagh","At least 5 GCSEs at grades A*-C (incl. equivalent qualifications) including GCSE English and maths",67.5,86.3,82.3
"Percentage of school leavers","2021/22","Fermanagh and Omagh","Total leavers",NA,NA,NA
"Percentage of school leavers","2021/22","Lisburn and Castlereagh","At least 3 A-levels at grades A*-C (incl. equivalent qualifications)",29.8,58.5,54.2
"Percentage of school leavers","2021/22","Lisburn and Castlereagh","At least 3 A-levels at grades A*-E (incl. equivalent qualifications)",38.8,67.6,63.2
"Percentage of school leavers","2021/22","Lisburn and Castlereagh","At least 2 A-levels at grades A*-E (incl. equivalent qualifications)",40.8,70.3,65.8
"Percentage of school leavers","2021/22","Lisburn and Castlereagh","At least 5 GCSEs at grades A*-C (incl. equivalent qualifications)",82.7,95.7,93.7
"Percentage of school leavers","2021/22","Lisburn and Castlereagh","At least 5 GCSEs at grades A*-C (incl. equivalent qualifications) including GCSE English and maths",61.6,88.6,84.4
"Percentage of school leavers","2021/22","Lisburn and Castlereagh","Total leavers",NA,NA,NA
"Percentage of school leavers","2021/22","Mid and East Antrim","At least 3 A-levels at grades A*-C (incl. equivalent qualifications)",20.2,53.6,46.8
"Percentage of school leavers","2021/22","Mid and East Antrim","At least 3 A-levels at grades A*-E (incl. equivalent qualifications)",27,61.8,54.6
"Percentage of school leavers","2021/22","Mid and East Antrim","At least 2 A-levels at grades A*-E (incl. equivalent qualifications)",30.6,64.8,57.8
"Percentage of school leavers","2021/22","Mid and East Antrim","At least 5 GCSEs at grades A*-C (incl. equivalent qualifications)",79.5,95.1,91.9
"Percentage of school leavers","2021/22","Mid and East Antrim","At least 5 GCSEs at grades A*-C (incl. equivalent qualifications) including GCSE English and maths",52.5,81.7,75.7
"Percentage of school leavers","2021/22","Mid and East Antrim","Total leavers",NA,NA,NA
"Percentage of school leavers","2021/22","Mid Ulster","At least 3 A-levels at grades A*-C (incl. equivalent qualifications)",32.5,48.8,45.2
"Percentage of school leavers","2021/22","Mid Ulster","At least 3 A-levels at grades A*-E (incl. equivalent qualifications)",41.5,58.7,54.9
"Percentage of school leavers","2021/22","Mid Ulster","At least 2 A-levels at grades A*-E (incl. equivalent qualifications)",45.2,61.7,58.1
"Percentage of school leavers","2021/22","Mid Ulster","At least 5 GCSEs at grades A*-C (incl. equivalent qualifications)",84.5,94.1,92
"Percentage of school leavers","2021/22","Mid Ulster","At least 5 GCSEs at grades A*-C (incl. equivalent qualifications) including GCSE English and maths",67.3,85,81.1
"Percentage of school leavers","2021/22","Mid Ulster","Total leavers",NA,NA,NA
"Percentage of school leavers","2021/22","Newry, Mourne and Down","At least 3 A-levels at grades A*-C (incl. equivalent qualifications)",26,50.7,45.2
"Percentage of school leavers","2021/22","Newry, Mourne and Down","At least 3 A-levels at grades A*-E (incl. equivalent qualifications)",33.9,59.2,53.6
"Percentage of school leavers","2021/22","Newry, Mourne and Down","At least 2 A-levels at grades A*-E (incl. equivalent qualifications)",39.5,63.8,58.4
"Percentage of school leavers","2021/22","Newry, Mourne and Down","At least 5 GCSEs at grades A*-C (incl. equivalent qualifications)",83.4,93.1,91
"Percentage of school leavers","2021/22","Newry, Mourne and Down","At least 5 GCSEs at grades A*-C (incl. equivalent qualifications) including GCSE English and maths",65.7,85.8,81.3
"Percentage of school leavers","2021/22","Newry, Mourne and Down","Total leavers",NA,NA,NA
"Percentage of school leavers","2021/22","Ards and North Down","At least 3 A-levels at grades A*-C (incl. equivalent qualifications)",24,52.9,47.8
"Percentage of school leavers","2021/22","Ards and North Down","At least 3 A-levels at grades A*-E (incl. equivalent qualifications)",32.7,63.8,58.3
"Percentage of school leavers","2021/22","Ards and North Down","At least 2 A-levels at grades A*-E (incl. equivalent qualifications)",37.4,67.6,62.3
"Percentage of school leavers","2021/22","Ards and North Down","At least 5 GCSEs at grades A*-C (incl. equivalent qualifications)",83.5,95.1,93.1
"Percentage of school leavers","2021/22","Ards and North Down","At least 5 GCSEs at grades A*-C (incl. equivalent qualifications) including GCSE English and maths",60.7,86.5,82
"Percentage of school leavers","2021/22","Ards and North Down","Total leavers",NA,NA,NA
"Percentage of school leavers","2021/22","Northern Ireland","At least 3 A-levels at grades A*-C (incl. equivalent qualifications)",25.5,51.8,45.2
"Percentage of school leavers","2021/22","Northern Ireland","At least 3 A-levels at grades A*-E (incl. equivalent qualifications)",33.5,61.3,54.4
"Percentage of school leavers","2021/22","Northern Ireland","At least 2 A-levels at grades A*-E (incl. equivalent qualifications)",37.2,64.6,57.8
"Percentage of school leavers","2021/22","Northern Ireland","At least 5 GCSEs at grades A*-C (incl. equivalent qualifications)",83.4,94.6,91.9
"Percentage of school leavers","2021/22","Northern Ireland","At least 5 GCSEs at grades A*-C (incl. equivalent qualifications) including GCSE English and maths",59.1,84.2,78
"Percentage of school leavers","2021/22","Northern Ireland","Total leavers",NA,NA,NA
"Percentage of school leavers","2022/23","Antrim and Newtownabbey","At least 3 A-levels at grades A*-C (incl. equivalent qualifications)",19.9,50.9,44.5
"Percentage of school leavers","2022/23","Antrim and Newtownabbey","At least 3 A-levels at grades A*-E (incl. equivalent qualifications)",31.2,61.6,55.4
"Percentage of school leavers","2022/23","Antrim and Newtownabbey","At least 2 A-levels at grades A*-E (incl. equivalent qualifications)",34.3,63.5,57.5
"Percentage of school leavers","2022/23","Antrim and Newtownabbey","At least 5 GCSEs at grades A*-C (incl. equivalent qualifications)",82.6,95.3,92.7
"Percentage of school leavers","2022/23","Antrim and Newtownabbey","At least 5 GCSEs at grades A*-C (incl. equivalent qualifications) including GCSE English and maths",53.9,84.3,78
"Percentage of school leavers","2022/23","Antrim and Newtownabbey","Total leavers",NA,NA,NA
"Percentage of school leavers","2022/23","Armagh City, Banbridge and Craigavon","At least 3 A-levels at grades A*-C (incl. equivalent qualifications)",15.1,41.7,36.4
"Percentage of school leavers","2022/23","Armagh City, Banbridge and Craigavon","At least 3 A-levels at grades A*-E (incl. equivalent qualifications)",18.1,52.2,45.4
"Percentage of school leavers","2022/23","Armagh City, Banbridge and Craigavon","At least 2 A-levels at grades A*-E (incl. equivalent qualifications)",19.7,54.1,47.3
"Percentage of school leavers","2022/23","Armagh City, Banbridge and Craigavon","At least 5 GCSEs at grades A*-C (incl. equivalent qualifications)",71.7,90.8,87
"Percentage of school leavers","2022/23","Armagh City, Banbridge and Craigavon","At least 5 GCSEs at grades A*-C (incl. equivalent qualifications) including GCSE English and maths",49.5,78,72.3
"Percentage of school leavers","2022/23","Armagh City, Banbridge and Craigavon","Total leavers",NA,NA,NA
"Percentage of school leavers","2022/23","Belfast","At least 3 A-levels at grades A*-C (incl. equivalent qualifications)",25.3,54,42.7
"Percentage of school leavers","2022/23","Belfast","At least 3 A-levels at grades A*-E (incl. equivalent qualifications)",35.3,64,52.7
"Percentage of school leavers","2022/23","Belfast","At least 2 A-levels at grades A*-E (incl. equivalent qualifications)",40,68,57
"Percentage of school leavers","2022/23","Belfast","At least 5 GCSEs at grades A*-C (incl. equivalent qualifications)",82.4,93.5,89.1
"Percentage of school leavers","2022/23","Belfast","At least 5 GCSEs at grades A*-C (incl. equivalent qualifications) including GCSE English and maths",56,81.9,71.7
"Percentage of school leavers","2022/23","Belfast","Total leavers",NA,NA,NA
"Percentage of school leavers","2022/23","Causeway Coast and Glens","At least 3 A-levels at grades A*-C (incl. equivalent qualifications)",17.4,46.8,40
"Percentage of school leavers","2022/23","Causeway Coast and Glens","At least 3 A-levels at grades A*-E (incl. equivalent qualifications)",23.7,56.9,49.2
"Percentage of school leavers","2022/23","Causeway Coast and Glens","At least 2 A-levels at grades A*-E (incl. equivalent qualifications)",27.9,60,52.6
"Percentage of school leavers","2022/23","Causeway Coast and Glens","At least 5 GCSEs at grades A*-C (incl. equivalent qualifications)",77.9,93.1,89.5
"Percentage of school leavers","2022/23","Causeway Coast and Glens","At least 5 GCSEs at grades A*-C (incl. equivalent qualifications) including GCSE English and maths",48.7,79.8,72.6
"Percentage of school leavers","2022/23","Causeway Coast and Glens","Total leavers",NA,NA,NA
"Percentage of school leavers","2022/23","Derry City and Strabane","At least 3 A-levels at grades A*-C (incl. equivalent qualifications)",19.8,46.8,37.7
"Percentage of school leavers","2022/23","Derry City and Strabane","At least 3 A-levels at grades A*-E (incl. equivalent qualifications)",33.7,61.6,52.2
"Percentage of school leavers","2022/23","Derry City and Strabane","At least 2 A-levels at grades A*-E (incl. equivalent qualifications)",38.2,64.8,55.8
"Percentage of school leavers","2022/23","Derry City and Strabane","At least 5 GCSEs at grades A*-C (incl. equivalent qualifications)",80.9,92.3,88.5
"Percentage of school leavers","2022/23","Derry City and Strabane","At least 5 GCSEs at grades A*-C (incl. equivalent qualifications) including GCSE English and maths",59.4,82.5,74.8
"Percentage of school leavers","2022/23","Derry City and Strabane","Total leavers",NA,NA,NA
"Percentage of school leavers","2022/23","Fermanagh and Omagh","At least 3 A-levels at grades A*-C (incl. equivalent qualifications)",20.1,49.3,43
"Percentage of school leavers","2022/23","Fermanagh and Omagh","At least 3 A-levels at grades A*-E (incl. equivalent qualifications)",32.3,63.4,56.6
"Percentage of school leavers","2022/23","Fermanagh and Omagh","At least 2 A-levels at grades A*-E (incl. equivalent qualifications)",36.5,66.6,60.1
"Percentage of school leavers","2022/23","Fermanagh and Omagh","At least 5 GCSEs at grades A*-C (incl. equivalent qualifications)",80.5,95.1,92
"Percentage of school leavers","2022/23","Fermanagh and Omagh","At least 5 GCSEs at grades A*-C (incl. equivalent qualifications) including GCSE English and maths",63.2,85.9,81
"Percentage of school leavers","2022/23","Fermanagh and Omagh","Total leavers",NA,NA,NA
"Percentage of school leavers","2022/23","Lisburn and Castlereagh","At least 3 A-levels at grades A*-C (incl. equivalent qualifications)",24.9,54.4,49.7
"Percentage of school leavers","2022/23","Lisburn and Castlereagh","At least 3 A-levels at grades A*-E (incl. equivalent qualifications)",33.3,65.1,60.1
"Percentage of school leavers","2022/23","Lisburn and Castlereagh","At least 2 A-levels at grades A*-E (incl. equivalent qualifications)",36.9,67.9,63
"Percentage of school leavers","2022/23","Lisburn and Castlereagh","At least 5 GCSEs at grades A*-C (incl. equivalent qualifications)",78.7,94.6,92.1
"Percentage of school leavers","2022/23","Lisburn and Castlereagh","At least 5 GCSEs at grades A*-C (incl. equivalent qualifications) including GCSE English and maths",59,87.5,83
"Percentage of school leavers","2022/23","Lisburn and Castlereagh","Total leavers",NA,NA,NA
"Percentage of school leavers","2022/23","Mid and East Antrim","At least 3 A-levels at grades A*-C (incl. equivalent qualifications)",19.3,46.9,41.3
"Percentage of school leavers","2022/23","Mid and East Antrim","At least 3 A-levels at grades A*-E (incl. equivalent qualifications)",26.9,59.9,53.2
"Percentage of school leavers","2022/23","Mid and East Antrim","At least 2 A-levels at grades A*-E (incl. equivalent qualifications)",30.9,62.5,56.1
"Percentage of school leavers","2022/23","Mid and East Antrim","At least 5 GCSEs at grades A*-C (incl. equivalent qualifications)",75.9,91.5,88.4
"Percentage of school leavers","2022/23","Mid and East Antrim","At least 5 GCSEs at grades A*-C (incl. equivalent qualifications) including GCSE English and maths",53.8,80.2,74.8
"Percentage of school leavers","2022/23","Mid and East Antrim","Total leavers",NA,NA,NA
